Cue,Answer,Value,"AdvShuffle; Target Cue, Answer",AdvShuffle; Target Value
Images/apple.png,apple,1,allStim,Grid1
Images/ball.png,ball,2,allStim,Grid1
Images/balloon.png,balloon,3,allStim,Grid1
Images/banana.png,banana,4,allStim,Grid1
Images/barrel.jpg,barrel,5,allStim,Grid1
Images/basket.png,basket,6,allStim,Grid1
Images/bat.png,bat,7,allStim,Grid1
Images/bed.jpg,bed,8,allStim,Grid1
Images/bell.png,bell,9,allStim,Grid1
Images/belt.png,belt,10,allStim,Grid1
Images/bike.png,bike,1,allStim,Grid2
Images/binder.GIF,binder,2,allStim,Grid2
Images/book.png,book,3,allStim,Grid2
Images/bookcase.bmp,bookcase,4,allStim,Grid2
Images/bowl.jpg,bowl,5,allStim,Grid2
Images/bread.png,bread,6,allStim,Grid2
Images/broom.png,broom,7,allStim,Grid2
Images/button.png,button,8,allStim,Grid2
Images/cake.jpg,cake,9,allStim,Grid2
Images/calculator.GIF,calculator,10,allStim,Grid2
Images/calendar.GIF,calendar,1,allStim,Grid3
Images/camera.png,camera,2,allStim,Grid3
Images/can.png,can,3,allStim,Grid3
Images/candle.png,candle,4,allStim,Grid3
Images/car.jpg,car,5,allStim,Grid3
Images/card.GIF,card,6,allStim,Grid3
Images/cd.GIF,cd,7,allStim,Grid3
Images/chair.jpg,chair,8,allStim,Grid3
Images/clippers.bmp,clippers,9,allStim,Grid3
Images/clock.jpg,clock,10,allStim,Grid3
Images/clothespin.png,clothespin,1,allStim,Grid4
Images/comb.png,comb,2,allStim,Grid4
Images/couch.png,couch,3,allStim,Grid4
Images/crutches.jpg,crutches,4,allStim,Grid4
Images/cup.png,cup,5,allStim,Grid4
Images/dart.png,dart,6,allStim,Grid4
Images/door.jpg,door,7,allStim,Grid4
Images/drill.GIF,drill,8,allStim,Grid4
Images/drum.png,drum,9,allStim,Grid4
Images/flag.png,flag,10,allStim,Grid4
Images/flower.jpg,flower,1,allStim,Grid5
Images/football.png,football,2,allStim,Grid5
Images/fork.png,fork,3,allStim,Grid5
Images/garbage.jpg,garbage,4,allStim,Grid5
Images/gift.GIF,gift,5,allStim,Grid5
Images/glasses.png,glasses,6,allStim,Grid5
Images/globe.png,globe,7,allStim,Grid5
Images/guitar.png,guitar,8,allStim,Grid5
Images/gun.png,gun,9,allStim,Grid5
Images/hammer.png,hammer,10,allStim,Grid5
Images/hanger.png,hanger,1,allStim,Grid6
Images/hat.png,hat,2,allStim,Grid6
Images/hourglass.GIF,hourglass,3,allStim,Grid6
Images/iceskate.bmp,iceskate,4,allStim,Grid6
Images/iron.jpg,iron,5,allStim,Grid6
Images/ironing board.png,ironing board,6,allStim,Grid6
Images/jar.png,jar,7,allStim,Grid6
Images/kettle.jpg,kettle,8,allStim,Grid6
Images/key.png,key,9,allStim,Grid6
Images/knife.png,knife,10,allStim,Grid6
Images/ladder.GIF,ladder,1,allStim,Grid7
Images/lamp.png,lamp,2,allStim,Grid7
Images/letter.png,letter,3,allStim,Grid7
Images/lightbulb.png,lightbulb,4,allStim,Grid7
Images/lightswitch.png,lightswitch,5,allStim,Grid7
Images/lipstick.png,lipstick,6,allStim,Grid7
Images/lock.png,lock,7,allStim,Grid7
Images/magnifying glass.GIF,magnifying glass,8,allStim,Grid7
Images/match.GIF,match,9,allStim,Grid7
Images/medicine.png,medicine,10,allStim,Grid7
Images/microphone.GIF,microphone,1,allStim,Grid8
Images/microwave.bmp,microwave,2,allStim,Grid8
Images/mushroom.png,mushroom,3,allStim,Grid8
Images/necklace.png,necklace,4,allStim,Grid8
Images/pan.png,pan,5,allStim,Grid8
Images/pants.png,pants,6,allStim,Grid8
Images/paperclip.png,paperclip,7,allStim,Grid8
Images/pen.bmp,pen,8,allStim,Grid8
Images/pencil.jpg,pencil,9,allStim,Grid8
Images/penny.png,penny,10,allStim,Grid8
Images/pillow.GIF,pillow,1,allStim,Grid9
Images/pitcher.png,pitcher,2,allStim,Grid9
Images/plant.GIF,plant,3,allStim,Grid9
Images/purse.png,purse,4,allStim,Grid9
Images/racket.png,racket,5,allStim,Grid9
Images/radio.jpg,radio,6,allStim,Grid9
Images/record player.png,record player,7,allStim,Grid9
Images/refrigerator.png,refrigerator,8,allStim,Grid9
Images/ring.png,ring,9,allStim,Grid9
Images/rollingpin.png,rollingpin,10,allStim,Grid9
Images/rope.png,rope,1,allStim,Grid10
Images/sailboat.jpg,sailboat,2,allStim,Grid10
Images/salt.png,salt,3,allStim,Grid10
Images/saw.png,saw,4,allStim,Grid10
Images/scissors.jpg,scissors,5,allStim,Grid10
Images/screw.png,screw,6,allStim,Grid10
Images/sewing machine.bmp,sewing machine,7,allStim,Grid10
Images/shirt.bmp,shirt,8,allStim,Grid10
Images/shoe.png,shoe,9,allStim,Grid10
Images/shovel.GIF,shovel,10,allStim,Grid10
Images/skiis.bmp,skiis,1,allStim,Grid11
Images/sled.bmp,sled,2,allStim,Grid11
Images/slippers.bmp,slippers,3,allStim,Grid11
Images/sock.png,sock,4,allStim,Grid11
Images/speakers.bmp,speakers,5,allStim,Grid11
Images/stove.jpg,stove,6,allStim,Grid11
Images/tie.png,tie,7,allStim,Grid11
Images/tobacco.jpg,tobacco,8,allStim,Grid11
Images/toilet.GIF,toilet,9,allStim,Grid11
Images/toothbrush.png,toothbrush,10,allStim,Grid11
Images/toy.jpg,toy,1,allStim,Grid12
Images/treasure.jpg,treasure,2,allStim,Grid12
Images/trophy.jpg,trophy,3,allStim,Grid12
Images/umbrella.jpg,umbrella,4,allStim,Grid12
Images/vest.jpg,vest,5,allStim,Grid12
Images/wagon.jpg,wagon,6,allStim,Grid12
Images/wallet.png,wallet,7,allStim,Grid12
Images/watch.png,watch,8,allStim,Grid12
Images/whistle.png,whistle,9,allStim,Grid12
Images/wrench.png,wrench,10,allStim,Grid12
